鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
大寮區,土地,山子頂段3541~3570地號,3499.0,農,,,1080702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43737500,12500,,0.0,0,,RPPNMLKKPHOFFLE88CA
大寮區,土地,赤崁段潮州寮小段5371~5400地號,331.0,農,,,1080624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5006000,15124,,0.0,0,,RPTNMLRJQHOFFLE37CA
鼓山區,房地(土地+建物),高雄市鼓山區青海路61~90號,11.78,住,,,1080610,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,84.66,2,2,1,有,有,3000000,35436,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLKKPHOFFAE38DA
鼓山區,房地(土地+建物),高雄市鼓山區河邊街115巷1~30號,28.24,住,,,1080625,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0691030,99.5,3,1,2,有,無,2078822,20893,,0.0,0,合意解除買賣,RPVNMLKKPHOFFAE48DA
大寮區,房地(土地+建物),高雄市大寮區鳳林三路601~630號,93.0,住,,,1080509,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0671128,232.88,0,0,0,無,無,10680000,45861,,0.0,0,,RPOOMLMLPHOFFLE56CA
林園區,房地(土地+建物),高雄市林園區溪州一路361~390號,68.0,住,,,1080618,土地1建物1車位0,一層，二層，三層，四層，屋頂突出物，騎樓,四層,店面(店鋪),住商用,鋼筋混凝土造,0830106,246.47,5,2,4,有,無,3600000,14606,,0.0,0,,RPVOMLQKPHOFFLE57CA
大寮區,土地,中庄北段1~30地號,89.77,住,,,1080701,土地19建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1620000,18046,,0.0,0,包含公共設施保留地之交易。;,RPPNMLMKPHOFFLE09CA
小港區,房地(土地+建物),高雄市小港區崇本街82巷1~30號,81.19,住,,,1080619,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0821224,242.24,6,3,5,有,無,9600000,39630,,0.0,0,含增建或未登記建物。;,RPPNMLTJPHOFFCE88DA
三民區,房地(土地+建物),高雄市三民區褒揚街301~330號,115.64,商,,,1080517,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),,鋼筋混凝土造,0671118,166.46,3,2,2,有,無,20500000,123153,,0.0,0,,RPTOMLTKPHOFFDE96DA
大樹區,土地,維新段721~750地號,74.89,住,,,1080702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1198240,16000,,0.0,0,,RPUNMLKKPHOFFGE98DA
鳳山區,房地(土地+建物),高雄市鳳山區中泰街31~60號,34.57,住,,,1080625,土地1建物1車位0,全,三層,透天厝,見使用執照,鋼筋混凝土造,0750925,81.59,3,1,2,有,無,3500000,42897,,0.0,0,,RPWNMLKKPHOFFGE56DA
鳥松區,土地,大德段421~450地號,92.09,農,,,1080515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,7601,,0.0,0,,RPTNMLLKPHOFFIE56DA
鳥松區,土地,大德段241~270地號,129.08,住,,,1080515,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,29439,,0.0,0,建地價格377萬7000元，農地價格2萬3000元,RPUNMLLKPHOFFIE66DA
大寮區,房地(土地+建物)+車位,高雄市大寮區長泰街1~30號,14.44,商,,,1080702,土地3建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880305,137.45,3,2,2,有,有,3600000,26191,坡道平面,24.0,0,,RPRNMLRJQHOFFLE27DA
鼓山區,房地(土地+建物),高雄市鼓山區昌盛路1~30號,7.78,商,,,1080625,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941110,84.53,2,2,1,有,有,5300000,62700,,0.0,0,,RPQNMLOJPHOFFAE48CD
小港區,房地(土地+建物),高雄市小港區店鳳街31~60號,21.31,商,,,1080610,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680420,45.11,2,2,1,有,無,1700000,37686,,0.0,0,含增建或未登記建物。;,RPQNMLPJPHOFFCE78CD
左營區,房地(土地+建物),高雄市左營區文川路271~300號,10.6,商,,,1080625,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890301,131.84,3,2,2,有,有,5000000,37925,,0.0,0,由租轉買,RPQNMLPJPHOFFEE98CD
前鎮區,房地(土地+建物),高雄市前鎮區二聖一路181~210號,25.91,商,,,1080527,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0731004,116.28,3,2,1,有,無,7000000,60200,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLPJPHOFFCE68CD
鳥松區,房地(土地+建物),高雄市鳥松區松埔北巷1~30號,23.34,,鄉村區,乙種建築用地,1080614,土地1建物2車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790920,76.64,0,0,0,無,無,1700000,22182,,0.0,0,,RPQNMLTLPHOFFIE17DA
內門區,土地,內豐段31~60地號,2962.08,,一般農業區,農牧用地,1080609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1688,,0.0,0,,RPQNMLSKOHOFFHE96CD
鳳山區,房地(土地+建物)+車位,高雄市鳳山區建國路三段61~90號,11.85,住,,,1080608,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0961215,155.24,2,2,2,有,有,9360000,60294,坡道平面,21.29,0,,RPVNMLMKPHOFFGE66DA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區文衡路421~450號,20.8,住,,,1080606,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0920701,136.47,3,1,2,有,無,3800000,27845,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLSKPHOFFGE07DA
左營區,房地(土地+建物)+車位,高雄市左營區重上街241~270號,11.32,商,,,1080424,土地1建物1車位1,十五層,十七層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0881104,127.03,3,2,2,有,有,6880000,52206,坡道平面,18.23,1200000,,RPSOMLPJQHOFFEE56DA
三民區,房地(土地+建物)+車位,高雄市三民區覺民路285巷31~60號,17.57,住,,,1080618,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040813,157.3,3,1,1,有,有,9800000,62301,坡道平面,25.92,0,,RPTOMLSKPHOFFDE86DA
大寮區,房地(土地+建物),高雄市大寮區鳳林二路453巷1~30號,78.03,農,,,1080619,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0661213,80.72,3,2,2,有,無,1500000,18583,,0.0,0,,RPXNMLLKPHOFFLE17CA
大寮區,房地(土地+建物),高雄市大寮區江山路1~30號,62.18,住,,,1080606,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0710222,82.4,3,2,2,有,無,3165000,38410,,0.0,0,,RPXOMLNLPHOFFLE57CA
林園區,土地,中芸段1351~1380地號,379.8,住,,,1080523,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,18957,,0.0,0,,RPVNMLOLPHOFFLE37CA
大寮區,土地,義和段211~240地號,236.3,住,,,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3931508,16638,,0.0,0,,RPQOMLPJQHOFFLE96CA
大寮區,房地(土地+建物),高雄市大寮區民族路331~360號,26.52,住,,,1080612,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800426,450.55,3,2,2,有,無,3000000,6659,,0.0,0,,RPSNMLLKPHOFFLE66CA
美濃區,房地(土地+建物),高雄市美濃區永安路481~510號,76.14,住,,,1080616,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080325,174.46,4,2,4,有,無,7750000,44423,,0.0,0,,RPQNMLTLPHOFFKE27CA
大社區,土地,觀音山段391~420地號,514.41,農,,,1080528,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8090000,15727,,0.0,0,,RPTNMLPJQHOFFIE86CA
湖內區,土地,劉家段721~750地號,42.43,,鄉村區,乙種建築用地,1080702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380000,8956,,0.0,0,親友、員工或其他特殊關係間之交易。;畸零地或有合併使用之交易。;,RPRNMLLKPHOFFJE98CA
路竹區,房地(土地+建物),高雄市路竹區自強街1~30號,77.47,住,,,1080618,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0690201,101.16,3,1,2,有,無,4500000,44484,,0.0,0,,RPTNMLKKPHOFFJE09CA
鳥松區,房地(土地+建物),高雄市鳥松區球場路文化巷1~30號,140.0,住,,,1080620,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620330,82.18,17,0,17,有,無,13330000,162205,,0.0,0,1.改建為17間套房2.本成交案件資訊係由仲介公司所提估,RPQNMLOLPHOFFIE56CA
鳥松區,房地(土地+建物)+車位,高雄市鳥松區大華路31~60號,51.45,住,,,1080529,土地1建物1車位2,十層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050910,295.26,3,2,4,有,有,19000000,64350,坡道平面,35.38,0,,RPUNMLPLPHOFFIE07CA
仁武區,土地,澄德段121~150地號,324.12,商,,,1080131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17502480,54000,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLMLPHOFFIE98CA
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海中街1~30號,24.23,住,,,1080619,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071116,181.43,3,2,2,有,有,7850000,47733,坡道平面,34.78,850000,,RPQOMLPKPHOFFIE66CA
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海中街1~30號,24.23,住,,,1080619,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071116,181.43,3,2,2,有,有,8930000,54074,坡道平面,34.78,1000000,,RPROMLPKPHOFFIE76CA
仁武區,房地(土地+建物)+車位,高雄市仁武區霞海中街1~30號,20.29,住,,,1080619,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071116,157.94,3,2,2,有,有,7600000,53589,坡道平面,34.78,1000000,,RPSOMLPKPHOFFIE86CA
仁武區,房地(土地+建物)+車位,高雄市仁武區大同南街42巷1~30號,31.19,住,,,1080626,土地3建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071224,88.37,3,2,2,有,有,5780000,65407,坡道平面,0.0,0,,RPWNMLSKPHOFFIE47CA
大社區,房地(土地+建物),高雄市大社區文明路31~60號,171.0,住,,,1080601,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0700501,106.24,7,2,6,有,無,7330000,68995,,0.0,0,含增建或未登記建物。;,RPRNMLMKPHOFFIE98CA
仁武區,土地,竹園段1141~1170地號,470.0,農,,,1080603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,20213,,0.0,0,,RPTOMLLKPHOFFIE56CA
仁武區,房地(土地+建物)+車位,高雄市仁武區後港巷77弄1~30號,82.51,住,,,1080626,土地2建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0860709,227.67000000000002,4,2,3,有,有,8200000,36017,坡道平面,46.28,0,,RPVOMLLKPHOFFIE76CA
仁武區,房地(土地+建物),高雄市仁武區澄觀路1381~1410號,84.02,住,,,1080702,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070904,207.9,5,2,4,有,無,13800000,66378,,0.0,0,,RPQNMLLKPHOFFIE78CA
鳥松區,房地(土地+建物),高雄市鳥松區大埤路1~30號,13.86,商,,,1080531,土地2建物1車位0,十層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700116,43.13,1,1,1,有,有,1930000,44748,,0.0,0,,RPWNMLKKPHOFFIE66CA
