鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段91~120號,16.83,住,,,1021001,土地1建物1車位1,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,117.74,2,1,1,有,有,8070000,78389,坡道平面,30.1,1200000,,RPUQMLQLPHOFFEF17CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,20.41,住,,,1031125,土地1建物1車位1,二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,130.5,3,1,2,有,有,9000000,75692,坡道平面,26.13,1100000,,RPVQMLQLPHOFFEF27CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段1~30號,20.41,住,,,1031026,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,130.5,3,1,2,有,有,8750000,73297,坡道平面,26.13,1100000,,RPORMLQLPHOFFEF66CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,16.57,住,,,1030212,土地1建物1車位1,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,112.7,2,1,1,有,有,7480000,76029,坡道平面,30.1,1200000,,RPPRMLQLPHOFFEF76CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段91~120號,27.9,住,,,1030128,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,172.45,3,2,2,有,有,12000000,75869,坡道平面,30.1,1200000,,RPRRMLQLPHOFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,29.43,住,,,1021129,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,176.01,3,2,2,有,有,15080000,93275,坡道平面,26.13,1100000,,RPTRMLQLPHOFFEF17CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段61~90號,27.27,住,,,1030328,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,170.32,3,2,2,有,有,12580000,80445,坡道平面,30.1,1300000,,RPURMLQLPHOFFEF27CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,27.96,住,,,1021006,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,172.85000000000002,3,2,2,有,有,12480000,79019,坡道平面,30.1,1200000,,RPWRMLQLPHOFFEF47CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,16.46,住,,,1020927,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,115.92,2,1,1,有,無,7470000,73060,坡道平面,30.1,1200000,,RPPSMLQLPHOFFEF86CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段31~60號,13.43,住,,,1060531,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,97.33000000000001,2,1,1,有,有,6280000,75562,坡道平面,30.1,1200000,,RPQSMLQLPHOFFEF96CA
