鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北屯區,房地(土地+建物)+車位,臺中市北屯區興安路二段461巷1~30號,22.36,住,,,1080610,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830630,153.6,3,2,2,有,有,6660000,43359,坡道平面,0.0,1000000,含增建或未登記建物。,RPPOMLSJPHOFFBB38CA
北區,房地(土地+建物),臺中市北區日盛街61~90號,18.2,住,,,1080601,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731008,87.25,3,2,1,有,無,3850000,44126,,0.0,0,,RPQOMLSJPHOFFBB48CA
北區,房地(土地+建物)+車位,臺中市北區忠明路421~450號,28.31,住,,,1080608,土地2建物1車位2,十五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030401,226.23000000000002,3,2,2,有,有,17500000,77355,坡道平面,51.78,0,,RPSOMLSJPHOFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區環太東路601~630號,25.62,住,,,1080607,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040615,151.26,3,2,2,有,有,7460000,49319,坡道平面,24.92,0,,RPTOMLSJPHOFFBB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區環中東路二段271~300號,10.68,商,,,1080604,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071016,105.6,2,1,1,有,有,6000000,56818,坡道平面,23.19,0,,RPVOMLSJPHOFFBB98CA
北屯區,房地(土地+建物),臺中市北屯區瀋陽路一段91~120號,3.95,住,,,1080618,土地1建物1車位0,地下層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810711,24.66,1,0,1,有,有,936000,37956,,0.0,0,,RPXOMLSJPHOFFBB56CA
北屯區,房地(土地+建物),臺中市北屯區松和街1~30號,23.0,住,,,1080417,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830112,155.11,0,0,0,無,無,6800000,43840,,0.0,0,,RPOQMLOJPHOFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德十一路31~60號,19.09,商,,,1080608,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,0930325,122.08,2,1,2,有,有,7500000,61435,坡道平面,0.0,0,,RPPQMLOJPHOFFBB18CA
北區,房地(土地+建物),臺中市北區陝西東五街1~30號,78.0,住,,,1080612,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750425,131.52,3,2,3,有,無,13680000,104015,,0.0,0,含增建或未登記建物。;,RPUNMLPJPHOFFBB48CA
北區,房地(土地+建物),臺中市北區進化北路241~270號,3.69,住,,,1080531,土地1建物1車位0,十層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821014,40.31,1,1,1,有,有,1650000,40933,,0.0,0,含增建或未登記建物。;,RPWNMLPJPHOFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區和順路541~570號,20.75,住,,,1080610,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791228,123.06,2,2,2,有,有,5250000,42666,坡道機械,0.0,0,,RPTPMLOJPHOFFBB48CA
北區,房地(土地+建物),臺中市北區太原路三段61巷1~30號,21.91,住,,,1080529,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710925,81.66999999999999,3,2,2,有,無,3800000,46529,,0.0,0,,RPUPMLOJPHOFFBB58CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路1231~1260號,21.02,住,,,1080604,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890120,212.89,5,2,3,有,有,9100000,43158,坡道平面,29.84,1200000,,RPWPMLTKPHOFFAB66CA
西區,房地(土地+建物)+車位,臺中市西區英才路589巷1~30號,20.98,住,,,1080517,土地1建物1車位1,四層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011126,300.65999999999997,4,2,2,有,有,24000000,79824,坡道平面,22.62,0,親友、員工或其他特殊關係間之交易。;,RPSNMLLLPHOFFAB97CA
南區,房地(土地+建物),臺中市南區工學北路61~90號,7.62,商,,,1080620,土地1建物1車位0,十四層，十五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850506,127.81,2,2,2,有,有,6100000,47727,,0.0,0,含增建或未登記建物。,RPVNMLMLPHOFFAB38CA
南區,房地(土地+建物),臺中市南區復興路二段91~120號,13.61,住,,,1080606,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710918,97.26,3,2,2,有,有,5030000,51717,,0.0,0,含增建或未登記建物。,RPWNMLMLPHOFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區福田二街1~30號,21.89,住,,,1080511,土地2建物2車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051212,169.82,3,2,2,有,有,11800000,69485,坡道平面,33.4,0,,RPXNMLOLPHOFFAB78CA
中區,房地(土地+建物),臺中市中區公園路31~60號,3.51,商,,,1080622,土地2建物1車位0,十一層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701231,33.12,1,1,1,有,有,1000000,30193,,0.0,0,,RPQNMLTLPHOFFAB58CA
西區,房地(土地+建物),臺中市西區大新街1~30號,112.0,住,,,1070711,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1071226,338.97,6,3,7,有,無,35000000,103254,,0.0,0,,RPUTNLKMPHOFFAB88CA
西區,房地(土地+建物),臺中市西區大新街1~30號,103.0,住,,,1060801,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1071226,326.09,6,3,7,有,無,33000000,101199,,0.0,0,,RPVTNLKMPHOFFAB98CA
西區,房地(土地+建物),臺中市西區大新街1~30號,73.0,住,,,1070702,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1071226,315.2,6,3,7,有,無,25000000,79315,,0.0,0,,RPWTNLKMPHOFFAB09CA
